SMILES,logPerm
C1=CC(=CC=C1CCO)N,5.298317366548037
C1=CC(=CC=C1N)Cl,5.857933154483459
CCOC1=CC=C(C=C1)N,5.736572297479192
CCC1=CC=C(C=C1)N,5.598421958998375
CC(C)C1=CC=C(C=C1)N,5.480638923341991
COC1=CC=C(C=C1)N,5.857933154483459
CC1=CC=C(C=C1)N,5.703782474656201
CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,2.3978952727983707
C1=CC=C(C=C1)S(=O)(=O)NC2=NN=C(S2)S(=O)(=O)N,1.1939224684724346
CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O,5.598421958998375
CC1=CC(=CC=C1)OCC(CNCCC2=CC(=C(C=C2)OC)OC)O,6.29156914
CC(=O)N(C1=NN=C(S1)S(=O)(=O)N)Br,1.4350845252893227
CCC1=CC=CC2=C1OC(=C2)C(CNC(C)(C)C)O,6.579251212010101
C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],4.219507705176107
C1=CC=C(C(=C1)C2=NN=C(S2)S(=O)(=O)N)Cl,5.192956851
CC1=C(N=CN1)CSCCNC(=NC)NC#N,1.9459101490553128
C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl,6.0867747269123065
CN1C2CCC1C(C(C2)OC(=O)C3=CC=CC=C3)C(=O)OC,4.110873864173311
CC12CCC(=O)C=C1CCC3C2CCC4(C3CCC4(C(=O)CO)O)C,5.703782474656201
COC(=O)C1C(CCC2C1CC3C4=C(CCN3C2)C5=CC=CC=C5N4)O,4.700480365792417
C1=CC2=C(C(=C1)OCC(COC3=CC=CC4=C3C(=O)C=C(O4)C(=O)O)O)C(=O)C=C(O2)C(=O)O,2.3978952727983707
C1CNP(=O)(OC1)N(CCCl)CCCl,4.700480365792417
CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,4.700480365792417
CC12CCC3C(C1CCC2C(=O)CO)CCC4=CC(=O)CCC34C,5.991464547107982
C(C=O)C(C(C(CO)O)O)O,4.304065093
[C@H]1([C@H]([C@@H](C[C@H](O1)OC2CC2)O[H])O[H])CO[H],3.091042453358316
CCOC1CC(C(C(O1)CO)O)O,3.367295829986474
CC(C)OC1CC(C(C(O1)CO)O)O,2.8903717578961645
COC1CC(C(C(O1)CO)O)O,3.828641396489095
CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C,3.9120230054281455
CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)COC(=O)C)O)C)O)F)C,5.913503006
COC1=CC(=C(C=C1)OC)N,5.799092654460526
C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,3.044522437723423
C(CO)N,1.6094379124341005
CCOC1=CC2=C(C=C1)N=C(S2)S(=O)(=O)N,6.0867747269123065
C1=CC=C2C(=C1)N=C(S2)S(=O)(=O)N,5.886104031450156
C1=CC2=C(C=C1O)SC(=N2)S(=O)(=O)N,4.025351691
C1=CC2=C(C=C1Cl)SC(=N2)S(=O)(=O)N,6.063785208687608
C1=C(C=C(C2=C1SC(=N2)S(=O)(=O)N)Cl)Cl,5.966146739123692
C1=CC2=C(C=C1N)SC(=N2)S(=O)(=O)N,4.204692619390966
C1=CC2=C(C=C1[N+](=O)[O-])SC(=N2)S(=O)(=O)N,4.189654742026425
C1=CC2=C(C=C1OCCO)SC(=N2)S(=O)(=O)N,2.708050201
C1=CC=C(C=C1)COC2=CC3=C(C=C2)N=C(S3)S(=O)(=O)N,6.152732694704104
CC(=O)NC1=CC2=C(C=C1)N=C(S2)S(=O)(=O)N,3.8501476017100575
C1=CC(=CC(=C1)F)N=C2N3C(=NS2)SC(=N3)S(=O)(=O)N,4.158883083359672
C1=CC(=CC=C1N=C2N3C(=NS2)SC(=N3)S(=O)(=O)N)F,3.713572066704308
CN(C)C1=CC=C(C=C1)N=C2N3C(=NS2)SC(=N3)S(=O)(=O)N,4.060443010546419
CC(C)(C)NCC(COC1=NSN=C1N2CCOCC2)O,4.787491742782046
C1C(C(C(C(C1N)OC2C(C(C(C(O2)CO)O)N)O)O)OC3C(CC(C(O3)CN)O)N)N,1.6486586255873816
CC1(OC2CC3C4CCC5=CC(=O)C=CC5(C4(C(CC3(C2(O1)C(=O)CO)C)O)F)C)C,4.787491742782046
CN1C(=NC(=O)C(Cl)(Cl)Cl)SC(=N1)S(=O)(=O)N,4.174387269895637
CN1C(=NC(=O)C(F)(F)F)SC(=N1)S(=O)(=O)N,3.6635616461296463
C1=CC=C2C(=C1)N=C(S2)SN,5.886104031450156
CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)C,0.636576829
CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3,1.7298840655099674
C1=CC(=C(C(=C1)C(=O)C2=CC=C(C=C2)Br)N)CC(=O)O,1.383791230901772
C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,1.824549292051046
C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,2.299580583973747
C1CN2C(=CC=C2C(=O)C3=CC=CC=C3)C1C(=O)O,1.249901736214336
CC1CN(CCC1(C2=CC=CC=C2)C(=O)O)C3CCC(CC3)(C#N)C4=CC=C(C=C4)F,1.4060969884160703
COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O,2.1610215286722587
C1CN=C(N1)NC2=C(C=CC3=NSN=C32)Cl,3.850998303590372
CC(C1=NC=NC=C1F)C(CN2C=NC=N2)(C3=C(C=C(C=C3)F)F)O,3.455685566946225
